tier,experiment,queries,ndcg_at_10,recall_at_10,mrr_at_10
primaria,bge_m3_title,413,0.44655021084744806,0.44871634508438385,0.5397363465160075
primaria,e5_base_title,413,0.43231943745743684,0.43233265926970527,0.5297407663630423
primaria,e5_large_title,413,0.4685912563973297,0.4733011742091645,0.5581767170144895
primaria,e5_small_full,413,0.43166619318454547,0.43015215884465274,0.5230879357392675
primaria,e5_small_title,413,0.4509613104439745,0.4489609193604351,0.548742265267689
primaria,minilm_full,413,0.14458047440481867,0.16431133434765396,0.17798435758484182
primaria,qwen3_embedding_title,413,0.4504141935200972,0.4615627848073369,0.5328500326684346
robustez,bge_m3_title,1986,0.5149463203031298,0.557940508821677,0.5844832478140635
robustez,e5_base_title,1986,0.4982248494923734,0.538168876273106,0.5651596892533448
robustez,e5_large_title,1986,0.5432553235134645,0.5902433962479279,0.6025002397736536
robustez,e5_small_full,1986,0.5126874573030787,0.5544995845600075,0.5828354033792099
robustez,e5_small_title,1986,0.5150119908812385,0.5537953304947263,0.5890539330871657
robustez,minilm_full,1986,0.1639465350234792,0.19559109487357224,0.19065262392301666
robustez,qwen3_embedding_title,1986,0.518708598487611,0.5671997801907167,0.5778652951613675
