experiment,ndcg_at_10,recall_at_10,mrr_at_10
bm25_full_text,0.5575925803958484,0.18726416952223401,0.6458333333333333
bge_m3_title,0.6368899844517063,0.26567534168340623,0.875
e5_base_title,0.5627840657952312,0.24808529284335734,0.7916666666666666
e5_large_title,0.5267055488880392,0.1954419236677301,0.71875
e5_small_full,0.5333070150658129,0.20505730828311475,0.5875
e5_small_title,0.5549627339945311,0.22315102012682655,0.6979166666666666
minilm_full,0.27334679012971985,0.09508497774626806,0.30952380952380953
qwen3_embedding_title,0.6481151709438412,0.29646451219031866,0.75
